wdi_lifexp,gle_rgdpc,ti_cpi
62.902683,1131.48,12
77.99839,7513.03,33
75.635025,4765.54,36
60.806732,3326.77,19
71.724754,8639.2,29
76.134,13322.81,34
82.3,34061.65,80
81.49024,34287.57,72
75.217636,19118.05,71
76.725464,19847.11,49
71.87166,1584.91,25
74.019585,5691.6,37
75.4839,20191.58,74
81.2878,29785.65,76
69.41798,4974.48,65
68.35032,3549.67,35
76.46356,7505.05,39
64.69439,11265.74,63
74.958244,8658.54,43
70.162315,1864.04,42
76.941734,40670.64,60
74.46585,12321.43,43
66.20722,5057.71,21
56.66332,585.37,20
72.97073,15685.25,31
68.10625,1699.96,21
57.087807,2345.22,27
81.95305,32266.58,81
72.25432,3504.45,57
50.59105,608.72,24
74.81466,4822.61,38
52.181072,1456.48,22
78.964485,13690.21,73
75.95719,8189.37,36
73.97895,7728.67,37
63.202145,857.77,26
63.515316,2090.56,23
58.74861,285.95,22
79.416855,8367.85,54
77.47805,15896.76,48
79.38971,5204.65,46
80.12205,24000.8,63
78.82439,21036.78,51
60.318123,1246.53,39
80.7,32998.49,92
73.5162,9153.78,32
75.85973,6404.01,33
72.755295,293.11,39
57.255535,13596.12,19
64.506905,794.61,33
64.16339,888.57,18
77.03415,17438.44,69
81.18049,32602.8,89
82.67073,30000.18,69
61.994316,2369.02,34
65.203026,12813.52,37
72.82063,6306.13,52
60.713852,1413.1,29
81.09024,34833.32,79
62.11378,2280.01,48
65.87061,1352.03,30.80073929
81.436584,22314.3,43
73.35334,7334.72,56
72.762024,3915,32
58.8249,876.71,25
66.42615,1802.08,30
62.713146,904.16,19
73.129906,2913.88,29
75.76341,16152.94,54
82.86098,27623.4,79
68.050026,3755.14,38
68.868484,4216.7,34
75.478195,11370.31,27
69.42561,3685.87,16
81.34878,40951.38,74
82.153656,22870.92,60
83.09024,29050.77,43
52.547073,1194.69,32
75.65854,4118.57,38
83.58781,31866.7,76
71.62,12437.37,29
74.04495,4577.42,49
66.194145,1318.49,25
70.95207,1524.2,8
82.15585,29271.51,55
74.62349,56760.12,44
70.402435,2655.49,27
65.92264,2581.86,25
79.32627,12978.21,27
53.09322,1358.33,49
74.12439,14629.34,55
61.501244,430.73,37
71.71939,3619.33,18
74.517075,15490.39,58
82.22927,54168.16,82
65.10132,725.67,28
61.81661,827.77,33
75.05371,10836.61,52
76.85588,11776.54,36
56.986706,937.96,32
81.94634,21255.16,55
62.870243,1961.04,30
74.19439,9654.76,54
76.69917,12005.59,35
68.88261,5538.07,39
71.16168,3711.99,35
76.638855,12825.2,42
75.25515,3528.22,39
56.994343,751.94,31
76.89456,23076.01,45
62.83893,3988.47,49
69.49898,1289.78,29
81.70731,37278.34,83
71.772,2537.96,35.29685974
81.40488,23360.62,91
74.77278,2229.29,28
59.240513,568.58,35
52.54134,1982.04,27
82.1,50842.7,86
66.14919,2519.03,29
77.62544,13353.19,37
65.23407,1493.96,25
72.93241,4245.73,24
74.48537,8139.76,38
68.87017,3487.24,38
77.60244,17635.07,61
81.12195,20946.4,63
56.548218,847.98,19
68.29295,1727.09,28
78.30351,91787.54,69
74.960976,12846.92,43
70.74366,16817.09,27
66.11334,1270.64,49
75.10436,9788.2,71
72.939514,6576.34,62
66.29071,1897.11,42
74.39739,18412.93,49
66.25783,1347.92,43
75.336586,10007.08,41
73.22927,8453.96,55
50.942608,864.47,31
82.495125,47872.82,84
76.812195,19210.07,50
75.69529,3658.79,31
81.07805,21574.43,58
55.465683,1267.43,8
60.95478,7780.64,44
59.244316,14112.4,21
83.22927,27422.93,60
71.14697,5336.28,36
56.101463,3625.69,43
82.25366,34404.78,87
83.19756,44508.52,86
70.16322,3779.51,20
70.82697,3169.26,23
74.86405,8200.11,38
59.57634,914.16,29
72.70136,3495.15,31.39193916
70.459656,19486.02,38
77.32937,17916.63,70
75.31434,6097.69,40
75.152145,14909.02,45
67.490685,11659.76,17
59.155804,1185.13,26
71.186584,8227.6,26
75.358,8478.02,45
71.10956,4938.53,37
81.30488,30691.04,78
64.118484,1249.39,31
78.74146,42140.19,74
59.375294,966.81,38
76.98209,11295.83,73
70.99339,6502.11,18
74.22614,9274.93,19
74.58007,2794.44,38.79217148
64.50717,1915.09,19
60.71534,1690.9,38
